_id,name,id
ObjectId("5de858562e0ddc657d1b6bbd"),Instituto Mexicano de la Radio,IMER-189
ObjectId("5de858562e0ddc657d1b6bbe"),Administración Portuaria Integral de Altamira, S.A. de C.V.,API-Altamira-3
ObjectId("5de858562e0ddc657d1b6bbf"),Centro de Investigaciones en Óptica, A.C.,CIO-52
ObjectId("5de858562e0ddc657d1b6bc0"),Centro Regional de Alta Especialidad de Chiapas,CRAE-65
ObjectId("5de858562e0ddc657d1b6bc1"),Talleres Gráficos de México,TGM-298
ObjectId("5de858562e0ddc657d1b6bc2"),Administración Portuaria Integral de Puerto Madero, S.A. de C.V.,API-Puerto Madero-12
ObjectId("5de858562e0ddc657d1b6bc3"),Fideicomiso de Riesgo Compartido,FIRCO-136
ObjectId("5de858562e0ddc657d1b6bc4"),Fondo de Garantía y Fomento para la Agricultura, Ganadería y Avicultura,FIRA-151
ObjectId("5de858562e0ddc657d1b6bc5"),El Colegio de San Luis, A.C.,COLSAN-126
ObjectId("5de858562e0ddc657d1b6bc6"),Fideicomiso Fondo Nacional de Fomento Ejidal,FIFONAFE-138
ObjectId("5de858562e0ddc657d1b6bc7"),FONATUR Constructora, S.A. de C.V.,FONATUR Constructora-143
ObjectId("5de858562e0ddc657d1b6bc8"),Instituto Nacional del Suelo Sustentable,INSUS-101
ObjectId("5de858562e0ddc657d1b6bc9"),Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.,API-Puerto Vallarta-13
ObjectId("5de858562e0ddc657d1b6bca"),Agencia Espacial Mexicana,AEM-21
ObjectId("5de858562e0ddc657d1b6bcb"),Instituto Nacional de Astrofísica, Óptica y Electrónica,INAOE-196
ObjectId("5de858562e0ddc657d1b6bcc"),Tribunales Agrarios,Tribunales Agrarios-305
ObjectId("5de858562e0ddc657d1b6bcd"),Comisión Nacional de Libros de Texto Gratuitos,CONALITEG-88
ObjectId("5de858562e0ddc657d1b6bce"),Fondo de Cultura Económica,FCE-148
ObjectId("5de858562e0ddc657d1b6bcf"),Instituto Nacional para el Desarrollo de Capacidades del Sector Rural, A.C.,INCA RURAL-222
ObjectId("5de858562e0ddc657d1b6bd0"),FONATUR Operadora Portuaria, S.A. de C.V.,FONATUR Operadora-145
ObjectId("5de858562e0ddc657d1b6bd1"),Centro de Investigación y Desarrollo Tecnológico en Electroquímica, S.C.,CIDETEQ-47
ObjectId("5de858562e0ddc657d1b6bd2"),Casa de Moneda de México,CMM-32
ObjectId("5de858562e0ddc657d1b6bd3"),Administración Portuaria Integral de Tampico, S.A. de C.V.,API-Tampico-15
ObjectId("5de858562e0ddc657d1b6bd4"),Instituto Nacional de Geriatría,INGER-176
ObjectId("5de858562e0ddc657d1b6bd5"),Comisión Nacional de Cultura Física y Deporte,CONADE-85
ObjectId("5de858562e0ddc657d1b6bd6"),Administración Portuaria Integral de Ensenada, S.A. de C.V.,API-Ensenada-6
ObjectId("5de858562e0ddc657d1b6bd7"),Centro de Investigación en Materiales Avanzados, S.C.,CIMAV-43
ObjectId("5de858562e0ddc657d1b6bd8"),Secretaría Ejecutiva del Sistema Nacional Anticorrupción,SESNA-330
ObjectId("5de858562e0ddc657d1b6bd9"),Consejo Nacional para el Desarrollo y la Inclusión de las Personas con Discapacidad,CONADIS-315
ObjectId("5de858562e0ddc657d1b6bda"),Organismo Promotor de Inversiones en Telecomunicaciones,PROMTEL-328
ObjectId("5de858562e0ddc657d1b6bdb"),Autoridad Federal para el Desarrollo de las Zonas Económicas Especiales,ZEE-331
